Asset Type,mettr_c_base,mettr_c_e_base,mettr_c_d_base,mettr_c_reform1,mettr_c_e_reform1,mettr_c_d_reform1,mettr_c_reform2,mettr_c_e_reform2,mettr_c_d_reform2,assets_c
Ships and boats,0.131814773,0.235302734,-0.467261207,0.229718988,0.321526023,-0.280385128,0.099080852,0.095542711,0.108991666,1062459922
Railroad equipment,0.100677003,0.208728168,-0.532521978,0.179174308,0.278420258,-0.383405985,0.099080852,0.095542711,0.108991666,6993363391
Household furniture,0.126261746,0.227824945,-0.458945327,0.220323319,0.309145404,-0.269037015,0.099080852,0.095542711,0.108991666,643832573.3
Other furniture,0.146808136,0.245653442,-0.417994187,0.252767044,0.337447765,-0.207703584,0.099080852,0.095542711,0.108991666,2671699509
Other agricultural machinery,0.146808136,0.245653442,-0.417994187,0.252767044,0.337447765,-0.207703584,0.099080852,0.095542711,0.108991666,271767156.6
Farm tractors,0.166589135,0.261597606,-0.370599951,0.282531469,0.361611593,-0.140669088,0.099080852,0.095542711,0.108991666,197979829.2
Other construction machinery,0.136296411,0.235948771,-0.434886581,0.236090082,0.321986873,-0.233237051,0.099080852,0.095542711,0.108991666,8801154208
Construction tractors,0.140975562,0.239742319,-0.423751123,0.243347207,0.327911954,-0.216954492,0.099080852,0.095542711,0.108991666,431691566.1
Mining and oilfield machinery,0.169972684,0.264331563,-0.362592475,0.28752137,0.365679145,-0.1296446,0.099080852,0.095542711,0.108991666,12625369255
Service industry machinery,0.171933763,0.265917041,-0.357964509,0.290400222,0.368028036,-0.123311509,0.099080852,0.095542711,0.108991666,2524607658
Household appliances,0.141927694,0.240514668,-0.421491658,0.244816627,0.32911277,-0.213672417,0.099080852,0.095542711,0.108991666,395578902.7
Other electrical,0.192776746,0.282808867,-0.30936323,0.320409673,0.392608274,-0.058461171,0.099080852,0.095542711,0.108991666,486635874.7
Other,0.168072826,0.262796209,-0.36708513,0.284723124,0.363397548,-0.135819509,0.099080852,0.095542711,0.108991666,6737762272
Office,0.355775044,0.430075803,-0.056694511,0.355775044,0.430075803,-0.056694511,0.099080852,0.095542711,0.108991666,17896748900
Hospitals,0.336224925,0.415497891,-0.11302447,0.336224925,0.415497891,-0.11302447,0.099080852,0.095542711,0.108991666,26844282.68
Special care,0.336224925,0.415497891,-0.11302447,0.336224925,0.415497891,-0.11302447,0.099080852,0.095542711,0.108991666,5497632.372
Medical buildings,0.355775044,0.430075803,-0.056694511,0.355775044,0.430075803,-0.056694511,0.099080852,0.095542711,0.108991666,25042539.79
Multimerchandise shopping,0.360563168,0.433666845,-0.043270848,0.360563168,0.433666845,-0.043270848,0.099080852,0.095542711,0.108991666,366244221.8
Food and beverage establishments,0.360563168,0.433666845,-0.043270848,0.360563168,0.433666845,-0.043270848,0.099080852,0.095542711,0.108991666,2053715791
Warehouses,0.348621312,0.42472579,-0.077019435,0.348621312,0.42472579,-0.077019435,0.099080852,0.095542711,0.108991666,1970911116
Mobile structures,0.097949027,0.206555811,-0.539476567,0.174627666,0.274806575,-0.394755501,0.099080852,0.095542711,0.108991666,196129250.4
Other commercial,0.360563168,0.433666845,-0.043270848,0.360563168,0.433666845,-0.043270848,0.099080852,0.095542711,0.108991666,5118606358
Manufacturing,0.376624791,0.445772916,0.000735384,0.376624791,0.445772916,0.000735384,0.099080852,0.095542711,0.108991666,59885730497
Electric,0.103912858,0.215254966,-0.554544629,0.184854516,0.289460764,-0.419067652,0.099080852,0.095542711,0.108991666,1601371102
Wind and solar,0.059313401,0.174027659,-0.62594602,0.107480235,0.218472476,-0.543511999,0.099080852,0.095542711,0.108991666,137096239.6
Gas,0.113833066,0.219222221,-0.499272861,0.200786787,0.295650274,-0.330266305,0.099080852,0.095542711,0.108991666,46258149838
Petroleum pipelines,0.070699586,0.184924645,-0.610107739,0.127933096,0.237913328,-0.514895348,0.099080852,0.095542711,0.108991666,82361451709
Communication,0.131217189,0.238434459,-0.498723624,0.228909048,0.326548942,-0.328779704,0.099080852,0.095542711,0.108991666,978293228.8
Petroleum and natural gas,0.08850097,0.197396066,-0.551716792,0.158384852,0.259110063,-0.415561915,0.099080852,0.095542711,0.108991666,7915853904
Mining,0.08907338,0.199496528,-0.562248866,0.159676387,0.262950128,-0.432505409,0.099080852,0.095542711,0.108991666,402479677.9
Educational and vocational,0.336224925,0.415497891,-0.11302447,0.336224925,0.415497891,-0.11302447,0.099080852,0.095542711,0.108991666,93430848.43
Lodging,0.366526903,0.438151048,-0.02674939,0.366526903,0.438151048,-0.02674939,0.099080852,0.095542711,0.108991666,73246725.38
Amusement and recreation,0.076210826,0.189289594,-0.595649655,0.137568961,0.245493964,-0.489555986,0.099080852,0.095542711,0.108991666,287387251.8
Air transportation,0.352542925,0.427656367,-0.065837192,0.352542925,0.427656367,-0.065837192,0.099080852,0.095542711,0.108991666,22526014.78
Other transportation,0.352542925,0.427656367,-0.065837192,0.352542925,0.427656367,-0.065837192,0.099080852,0.095542711,0.108991666,763345.8858
Other railroad,0.142984273,0.249285423,-0.484046203,0.247269399,0.343347814,-0.305851472,0.099080852,0.095542711,0.108991666,13756032.23
Track replacement,0.07175441,0.185759684,-0.607333653,0.129785065,0.23936898,-0.510002551,0.099080852,0.095542711,0.108991666,19623274.3
Local transit structures,0.352542925,0.427656367,-0.065837192,0.352542925,0.427656367,-0.065837192,0.099080852,0.095542711,0.108991666,201693.1153
Other land transportation,0.054854722,0.170469494,-0.637486025,0.099455798,0.21210587,-0.564342974,0.099080852,0.095542711,0.108991666,224776140.5
Farm,0.154605913,0.258142706,-0.451037663,0.265016348,0.356781307,-0.255591365,0.099080852,0.095542711,0.108991666,1178935.879
Water supply,0.152050648,0.25619253,-0.458245368,0.261145282,0.353843803,-0.266423048,0.099080852,0.095542711,0.108991666,208751045.1
Sewage and waste disposal,0.152050648,0.25619253,-0.458245368,0.261145282,0.353843803,-0.266423048,0.099080852,0.095542711,0.108991666,72325494.04
Public safety,0.352542925,0.427656367,-0.065837192,0.352542925,0.427656367,-0.065837192,0.099080852,0.095542711,0.108991666,823167943.7
Highway and conservation and development,0.129314668,0.236967546,-0.503983763,0.225907112,0.324251765,-0.33707014,0.099080852,0.095542711,0.108991666,670651233.5
Prepackaged software,0.225534466,0.308194444,-0.227001623,0.362626676,0.425614994,0.039556423,0.099080852,0.095542711,0.108991666,771540942.9
Custom software,0.156547079,0.251156735,-0.379223891,0.265135945,0.343818399,-0.157454145,0.099080852,0.095542711,0.108991666,1117032949
Own account software,0.156547079,0.251156735,-0.379223891,0.265135945,0.343818399,-0.157454145,0.099080852,0.095542711,0.108991666,862842225.4
Residential,0.292257433,0.381196718,-0.218843721,0.292257433,0.381196718,-0.218843721,0.099080852,0.095542711,0.108991666,1465685510
Land,0.353330936,0.430432431,-0.117102691,0.353330936,0.430432431,-0.117102691,0.099080852,0.095542711,0.108991666,2.26E+12
Inventories,0.353330936,0.430432431,-0.117102691,0.353330936,0.430432431,-0.117102691,0.099080852,0.095542711,0.108991666,6079760475
