,Asset Type,Class Life,GDS,ADS,System,Method,bonus,bea_asset_code,Asset,delta,b,z_c,z_nc,z_c_d,z_nc_d,z_c_e,z_nc_e,rho_c,metr_c,mettr_c,rho_nc,metr_nc,mettr_nc,rho_c_d,metr_c_d,mettr_c_d,rho_nc_d,metr_nc_d,mettr_nc_d,rho_c_e,metr_c_e,mettr_c_e,rho_nc_e,metr_nc_e,mettr_nc_e,asset_category,assets_c,assets_nc
28,Household furniture,6.0,5.0,9.0,GDS,GDS 200%,1.0,EO11,Household furniture,0.1375,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,6.48252420021e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Office and Residential Equipment,19534501.9758,17460465498.0
29,Other furniture,10.0,7.0,10.0,GDS,GDS 200%,1.0,EO12,Other furniture,0.1179,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,3.58908305375e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Office and Residential Equipment,1988674668.58,2.97282325331e+11
30,Other agricultural machinery,10.0,7.0,10.0,GDS,GDS 200%,1.0,EO30,Other agricultural machinery,0.1179,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,3.58908305375e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Other Industrial Equipment,119720035.503,1.27180279964e+11
31,Farm tractors,10.0,7.0,10.0,GDS,GDS 200%,1.0,EO21,Farm tractors,0.1452,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-5.98180508958e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Other Industrial Equipment,77449559.4658,55107550440.5
32,Other construction machinery,6.0,5.0,6.0,GDS,GDS 200%,1.0,EO40,Other construction machinery,0.155,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-6.91413915803e-16,0.0374499626025,0.044,-4.73106402539e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Other Industrial Equipment,431275177.362,2.21664724823e+11
33,Construction tractors,4.0,5.0,4.0,GDS,GDS 200%,1.0,EO22,Construction tractors,0.1633,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-5.98180508958e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Other Industrial Equipment,58840846.5786,13556159153.4
34,Mining and oilfield machinery,10.0,7.0,10.0,GDS,GDS 200%,1.0,EO50,Mining and oilfield machinery,0.15,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,7.88510670899e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Other Industrial Equipment,121809342.911,1.02829190657e+11
35,Service industry machinery,9.0,7.0,9.0,GDS,GDS 200%,1.0,EO60,Service industry machinery,0.1528,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,-3.88951452013e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Other Equipment,613477826.48,1.66170522174e+11
36,Household appliances,6.0,5.0,9.0,GDS,GDS 200%,1.0,EO71,Household appliances,0.165,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,-4.73106402539e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Office and Residential Equipment,9005836.01137,4943994163.99
37,Other electrical,6.0,7.0,9.0,GDS,GDS 200%,1.0,EO72,Other electrical,0.1834,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,7.88510670899e-16,0.147272903578,0.058,-5.98180508958e-16,0.0913303694388,0.0527028385726,-3.94982173172e-16,-2.63321448781e-16,Other Equipment,188787464.049,20175212536.0
38,Other,6.0,7.0,9.0,GDS,GDS 200%,1.0,EO80,Other,0.1473,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,7.88510670899e-16,0.147272903578,0.058,-5.98180508958e-16,0.0913303694388,0.0527028385726,-3.94982173172e-16,-2.63321448781e-16,Other Equipment,1737630789.96,3.2405636921e+11
39,Office,40.0,39.0,40.0,GDS,GDS SL,1.0,SOO1,Office,0.0247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Nonresidential Buildings,9572090085.03,1.71121890991e+12
40,Hospitals,40.0,39.0,40.0,GDS,ADS SL,1.0,SB31,Hospitals,0.0188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Nonresidential Buildings,793481215.243,6.56049518785e+11
41,Special care,40.0,39.0,40.0,GDS,ADS SL,1.0,SB32,Special care,0.0188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Nonresidential Buildings,179816050.366,1.4558818395e+11
42,Medical buildings,40.0,39.0,40.0,GDS,ADS SL,1.0,SOO2,Medical buildings,0.0247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Nonresidential Buildings,875097923.2,2.07884902077e+11
43,Multimerchandise shopping,40.0,39.0,40.0,GDS,GDS SL,1.0,SC03,Multimerchandise shopping,0.0262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Nonresidential Buildings,4514736772.02,6.62283263228e+11
44,Food and beverage establishments,12.5,7.0,12.5,GDS,GDS 200%,1.0,SC04,Food and beverage establishments,0.0262,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Nonresidential Buildings,1839161666.23,3.18412838334e+11
45,Warehouses,40.0,39.0,40.0,GDS,GDS SL,1.0,SC01,Warehouses,0.0225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,0.0,0.0968475687264,0.0501790153865,0.0,0.0374499626025,0.044,0.0,0.112301996276,0.044,0.0,0.147272903578,0.058,0.0,0.0913303694388,0.0527028385726,0.0,1.31660724391e-16,Nonresidential Buildings,2069071213.82,4.08594928786e+11
46,Mobile structures,6.0,5.0,6.0,GDS,GDS 200%,1.0,SOMO ,Mobile structures,0.0556,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,-1.29650484004e-16,0.0968475687264,0.0501790153865,1.38282783161e-16,0.0374499626025,0.044,-4.73106402539e-16,0.112301996276,0.044,-1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,-1.31660724391e-16,0.0,Nonresidential Buildings,,
47,Other commercial,40.0,39.0,40.0,GDS,GDS SL,1.0,SC02,Other commercial,0.0262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Nonresidential Buildings,3275968430.83,5.07504031569e+11
48,Manufacturing,40.0,39.0,40.0,GDS,GDS SL,1.0,SI00,Manufacturing,0.0314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,-1.29650484004e-16,0.0968475687264,0.0501790153865,1.38282783161e-16,0.0374499626025,0.044,-1.5770213418e-16,0.112301996276,0.044,-1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,-1.31660724391e-16,0.0,Other Structures,9383261331.67,1.40154773867e+12
49,Electric,19.0,10.0,19.0,GDS,GDS SL,1.0,SU30,Electric,0.0211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,0.0,0.0968475687264,0.0501790153865,0.0,0.0374499626025,0.044,0.0,0.112301996276,0.044,0.0,0.147272903578,0.058,0.0,0.0913303694388,0.0527028385726,0.0,1.31660724391e-16,Other Structures,2646861794.17,1.11998313821e+12
50,Wind and solar,6.0,5.0,5.0,GDS,GDS 200%,1.0,SU60,Wind and solar,0.0303,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,0.0,0.0968475687264,0.0501790153865,0.0,0.0374499626025,0.044,0.0,0.112301996276,0.044,0.0,0.147272903578,0.058,0.0,0.0913303694388,0.0527028385726,-2.63321448781e-16,-1.31660724391e-16,Other Structures,450323635.579,1.32678676364e+11
51,Gas,14.0,7.0,14.0,GDS,GDS 200%,1.0,SU40,Gas,0.0751,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,4.73106402539e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Mining and Drilling Structures,770686096.618,3.96214313903e+11
52,Petroleum pipelines,14.0,7.0,14.0,GDS,GDS 200%,1.0,SU50,Petroleum pipelines,0.0237,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Mining and Drilling Structures,84434821.6123,1.33316565178e+11
53,Communication,6.0,15.0,6.0,GDS,GDS 150%,1.0,SU20,Communication,0.0237,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,1.5770213418e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Mining and Drilling Structures,4676309026.87,6.28992690973e+11
54,Petroleum and natural gas,14.0,5.0,14.0,GDS,GDS 200%,1.0,SM01,Petroleum and natural gas,0.0751,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05352,1.29650484004e-16,0.0968475687264,0.0501790153865,-1.38282783161e-16,0.0374499626025,0.044,4.73106402539e-16,0.112301996276,0.044,1.5770213418e-16,0.147272903578,0.058,-1.19636101792e-16,0.0913303694388,0.0527028385726,1.31660724391e-16,2.63321448781e-16,Mining and Drilling Structures,1424203130.44,1.24452279687e+12
